price,dateSold,bathrooms,bedrooms,livingArea,homeType,lotAreaValue,zipcode,elem,middle,high,Year built
820000,Q3_2021,4.0,5.0,4313.0,SINGLE_FAMILY,15999.999990479999,20905,stonegate elementary,argyle middle,james hubert blake high,33.0
820000,Q3_2021,3.0,4.0,2774.0,SINGLE_FAMILY,34761.0000078,20905,stonegate elementary,benjamin banneker middle,james hubert blake high,50.0
820000,Q1_2021,5.0,5.0,4052.0,SINGLE_FAMILY,6943.0,20906,strathmore elementary,argyle middle,john f. kennedy high,4.0
820000,Q2_2021,4.0,5.0,5118.0,SINGLE_FAMILY,12799.0000116,20904,forest knolls elementary,argyle middle,john f. kennedy high,31.0
820000,Q2_2021,4.0,4.0,3213.0,SINGLE_FAMILY,15757.00000776,20832,cashell elementary,rosa m. parks middle,james hubert blake high,35.0
820000,Q1_2021,4.0,5.0,3800.0,SINGLE_FAMILY,25388.00000748,20878,dufief elementary,lakelands park middle,quince orchard high,25.0
820000,Q3_2021,4.0,3.0,2852.0,SINGLE_FAMILY,3600.0,20878,dufief elementary,lakelands park middle,quince orchard high,20.0
820000,Q1_2021,4.0,3.0,2805.0,SINGLE_FAMILY,5200.0,20878,thurgood marshall elementary,lakelands park middle,quince orchard high,23.0
820000,Q1_2021,4.0,4.0,2779.0,SINGLE_FAMILY,9191.0,20878,dufief elementary,lakelands park middle,quince orchard high,31.0
820000,Q1_2021,4.0,4.0,5438.0,SINGLE_FAMILY,15232.99999716,20878,dufief elementary,lakelands park middle,quince orchard high,30.0
820000,Q3_2021,4.0,4.0,3623.0,SINGLE_FAMILY,105850.99998395999,20882,woodfield elementary,hallie wells middle,clarksburg high,32.0
820000,Q2_2021,4.0,4.0,4476.0,SINGLE_FAMILY,11894.00002164,20904,forest knolls elementary,argyle middle,john f. kennedy high,32.0
820000,Q2_2021,4.0,4.0,4210.0,SINGLE_FAMILY,11864.999995199998,20832,greenwood elementary,rosa m. parks middle,sherwood high,27.0
820000,Q1_2021,4.0,4.0,3618.0,SINGLE_FAMILY,5496.0,20850,college gardens elementary,julius west middle,gaithersburg high,21.0
